Sun Jun 22 07:56:31 UTC 2025 | CPU: 8.8% | MEM: 5.60% | DISK: 19% | LOAD: 0.25, 0.13, 0.18
Sun Jun 22 07:56:36 UTC 2025 | CPU: 6.9% | MEM: 5.60% | DISK: 19% | LOAD: 0.23, 0.13, 0.18
Sun Jun 22 07:56:42 UTC 2025 | CPU: 3.8% | MEM: 5.60% | DISK: 19% | LOAD: 0.21, 0.13, 0.18
Sun Jun 22 07:56:47 UTC 2025 | CPU: 100% | MEM: 5.60% | DISK: 19% | LOAD: 0.19, 0.13, 0.17
Sun Jun 22 07:56:53 UTC 2025 | CPU: 100% | MEM: 5.60% | DISK: 19% | LOAD: 0.31, 0.16, 0.18
Sun Jun 22 07:56:58 UTC 2025 | CPU: 6.5% | MEM: 5.60% | DISK: 19% | LOAD: 0.37, 0.17, 0.19
Sun Jun 22 07:57:03 UTC 2025 | CPU: 100% | MEM: 5.60% | DISK: 19% | LOAD: 0.34, 0.17, 0.19
Sun Jun 22 07:57:09 UTC 2025 | CPU: 6.1% | MEM: 5.60% | DISK: 19% | LOAD: 0.31, 0.16, 0.18
Sun Jun 22 07:57:15 UTC 2025 | CPU: 100% | MEM: 5.60% | DISK: 19% | LOAD: 0.29, 0.16, 0.18
Sun Jun 22 07:57:20 UTC 2025 | CPU: 2.1% | MEM: 5.60% | DISK: 19% | LOAD: 0.26, 0.16, 0.18
Sun Jun 22 07:57:26 UTC 2025 | CPU: 6.9% | MEM: 5.63% | DISK: 19% | LOAD: 0.24, 0.15, 0.18
Sun Jun 22 07:57:31 UTC 2025 | CPU: 3.1% | MEM: 5.63% | DISK: 19% | LOAD: 0.22, 0.15, 0.18
Sun Jun 22 07:57:37 UTC 2025 | CPU: 12.1% | MEM: 5.63% | DISK: 19% | LOAD: 0.20, 0.15, 0.18
Sun Jun 22 07:57:42 UTC 2025 | CPU: 7.4% | MEM: 5.63% | DISK: 19% | LOAD: 0.19, 0.15, 0.18
Sun Jun 22 07:57:48 UTC 2025 | CPU: 3.4% | MEM: 5.63% | DISK: 19% | LOAD: 0.16, 0.14, 0.18
Sun Jun 22 07:57:53 UTC 2025 | CPU: 5.1% | MEM: 5.63% | DISK: 19% | LOAD: 0.14, 0.14, 0.17
Sun Jun 22 07:57:58 UTC 2025 | CPU: 3.3% | MEM: 5.63% | DISK: 19% | LOAD: 0.13, 0.14, 0.17
Sun Jun 22 07:58:04 UTC 2025 | CPU: 1.6% | MEM: 5.63% | DISK: 19% | LOAD: 0.12, 0.13, 0.17
Sun Jun 22 07:58:09 UTC 2025 | CPU: 5.9% | MEM: 5.63% | DISK: 19% | LOAD: 0.11, 0.13, 0.17
Sun Jun 22 07:58:15 UTC 2025 | CPU: 100% | MEM: 5.63% | DISK: 19% | LOAD: 0.10, 0.13, 0.17
Sun Jun 22 07:58:20 UTC 2025 | CPU: 6.7% | MEM: 5.63% | DISK: 19% | LOAD: 0.09, 0.13, 0.17
Sun Jun 22 07:58:25 UTC 2025 | CPU: 100% | MEM: 5.63% | DISK: 19% | LOAD: 0.09, 0.12, 0.17
Sun Jun 22 07:58:31 UTC 2025 | CPU: 9.1% | MEM: 5.63% | DISK: 19% | LOAD: 0.08, 0.12, 0.17
Sun Jun 22 07:58:36 UTC 2025 | CPU: 6.5% | MEM: 5.63% | DISK: 19% | LOAD: 0.07, 0.12, 0.17
Sun Jun 22 07:58:41 UTC 2025 | CPU: 2.9% | MEM: 5.63% | DISK: 19% | LOAD: 0.15, 0.13, 0.17
Sun Jun 22 07:58:47 UTC 2025 | CPU: 9.4% | MEM: 5.63% | DISK: 19% | LOAD: 0.14, 0.13, 0.17
Sun Jun 22 07:58:52 UTC 2025 | CPU: 3.3% | MEM: 5.63% | DISK: 19% | LOAD: 0.12, 0.13, 0.17
Sun Jun 22 07:58:57 UTC 2025 | CPU: 8.8% | MEM: 5.63% | DISK: 19% | LOAD: 0.11, 0.13, 0.17
Sun Jun 22 07:59:03 UTC 2025 | CPU: 2.7% | MEM: 5.63% | DISK: 19% | LOAD: 0.17, 0.14, 0.17
Sun Jun 22 07:59:08 UTC 2025 | CPU: 3.3% | MEM: 5.65% | DISK: 19% | LOAD: 0.16, 0.14, 0.17
Sun Jun 22 07:59:13 UTC 2025 | CPU: 100% | MEM: 5.65% | DISK: 19% | LOAD: 0.14, 0.13, 0.17
Sun Jun 22 07:59:19 UTC 2025 | CPU: 100% | MEM: 5.65% | DISK: 19% | LOAD: 0.13, 0.13, 0.17
Sun Jun 22 07:59:25 UTC 2025 | CPU: 2.3% | MEM: 5.65% | DISK: 19% | LOAD: 0.12, 0.13, 0.17
Sun Jun 22 07:59:30 UTC 2025 | CPU: 3.3% | MEM: 5.65% | DISK: 19% | LOAD: 0.11, 0.13, 0.17
Sun Jun 22 07:59:35 UTC 2025 | CPU: 100% | MEM: 5.65% | DISK: 19% | LOAD: 0.10, 0.12, 0.17
Sun Jun 22 07:59:41 UTC 2025 | CPU: 100% | MEM: 5.65% | DISK: 19% | LOAD: 0.09, 0.12, 0.17
Sun Jun 22 07:59:46 UTC 2025 | CPU: 3.3% | MEM: 5.65% | DISK: 19% | LOAD: 0.09, 0.12, 0.16
Sun Jun 22 07:59:51 UTC 2025 | CPU: 9.1% | MEM: 5.65% | DISK: 19% | LOAD: 0.08, 0.12, 0.16
Sun Jun 22 07:59:57 UTC 2025 | CPU: 3.2% | MEM: 5.65% | DISK: 19% | LOAD: 0.07, 0.11, 0.16
Sun Jun 22 08:00:02 UTC 2025 | CPU: 3.1% | MEM: 5.65% | DISK: 19% | LOAD: 0.07, 0.11, 0.16
Sun Jun 22 08:00:07 UTC 2025 | CPU: 9.1% | MEM: 5.65% | DISK: 19% | LOAD: 0.06, 0.11, 0.16
Sun Jun 22 08:00:13 UTC 2025 | CPU: 3.2% | MEM: 5.65% | DISK: 19% | LOAD: 0.12, 0.12, 0.16
Sun Jun 22 08:00:18 UTC 2025 | CPU: 3.2% | MEM: 5.65% | DISK: 19% | LOAD: 0.11, 0.12, 0.16
Sun Jun 22 08:00:23 UTC 2025 | CPU: 3.1% | MEM: 5.65% | DISK: 19% | LOAD: 0.11, 0.12, 0.16
Sun Jun 22 08:00:29 UTC 2025 | CPU: 6.5% | MEM: 5.65% | DISK: 19% | LOAD: 0.10, 0.12, 0.16
Sun Jun 22 08:00:34 UTC 2025 | CPU: 100% | MEM: 5.65% | DISK: 19% | LOAD: 0.09, 0.11, 0.16
Sun Jun 22 08:00:40 UTC 2025 | CPU: 6.5% | MEM: 5.65% | DISK: 19% | LOAD: 0.08, 0.11, 0.16
Sun Jun 22 08:00:45 UTC 2025 | CPU: 8.6% | MEM: 5.65% | DISK: 19% | LOAD: 0.07, 0.11, 0.16
Sun Jun 22 08:00:50 UTC 2025 | CPU: 2% | MEM: 5.65% | DISK: 19% | LOAD: 0.07, 0.11, 0.16
Sun Jun 22 08:00:56 UTC 2025 | CPU: 11.4% | MEM: 5.65% | DISK: 19% | LOAD: 0.06, 0.11, 0.16
Sun Jun 22 08:01:01 UTC 2025 | CPU: 6.9% | MEM: 5.65% | DISK: 19% | LOAD: 0.06, 0.10, 0.16
Sun Jun 22 08:01:06 UTC 2025 | CPU: 6.1% | MEM: 5.68% | DISK: 19% | LOAD: 0.05, 0.10, 0.16
Sun Jun 22 08:01:12 UTC 2025 | CPU: 3.2% | MEM: 5.68% | DISK: 19% | LOAD: 0.05, 0.10, 0.15
Sun Jun 22 08:01:17 UTC 2025 | CPU: 7.1% | MEM: 5.68% | DISK: 19% | LOAD: 0.04, 0.10, 0.15
Sun Jun 22 08:01:22 UTC 2025 | CPU: 3.3% | MEM: 5.68% | DISK: 19% | LOAD: 0.04, 0.10, 0.15
Sun Jun 22 08:01:28 UTC 2025 | CPU: 8.8% | MEM: 5.68% | DISK: 19% | LOAD: 0.04, 0.09, 0.15
Sun Jun 22 08:01:33 UTC 2025 | CPU: 3.3% | MEM: 5.68% | DISK: 19% | LOAD: 0.26, 0.14, 0.17
Sun Jun 22 08:01:38 UTC 2025 | CPU: 12.1% | MEM: 5.68% | DISK: 19% | LOAD: 0.24, 0.14, 0.17
Sun Jun 22 08:01:44 UTC 2025 | CPU: 6.5% | MEM: 5.68% | DISK: 19% | LOAD: 0.22, 0.14, 0.16
Sun Jun 22 08:01:49 UTC 2025 | CPU: 8.8% | MEM: 5.68% | DISK: 19% | LOAD: 0.20, 0.13, 0.16
Sun Jun 22 08:01:54 UTC 2025 | CPU: 5.9% | MEM: 5.68% | DISK: 19% | LOAD: 0.18, 0.13, 0.16
Sun Jun 22 08:02:00 UTC 2025 | CPU: 5.1% | MEM: 5.68% | DISK: 19% | LOAD: 0.17, 0.13, 0.16
Sun Jun 22 08:02:05 UTC 2025 | CPU: 6.9% | MEM: 5.68% | DISK: 19% | LOAD: 0.16, 0.13, 0.16
Sun Jun 22 08:02:10 UTC 2025 | CPU: 9.7% | MEM: 5.70% | DISK: 19% | LOAD: 0.14, 0.12, 0.16
Sun Jun 22 08:02:16 UTC 2025 | CPU: 6.5% | MEM: 5.70% | DISK: 19% | LOAD: 0.13, 0.12, 0.16
Sun Jun 22 08:02:21 UTC 2025 | CPU: 3.3% | MEM: 5.70% | DISK: 19% | LOAD: 0.12, 0.12, 0.16
Sun Jun 22 08:02:26 UTC 2025 | CPU: 6.2% | MEM: 5.70% | DISK: 19% | LOAD: 0.11, 0.12, 0.16
